Date,TransactionType,Fund,Value
2014-09-20,Capital Call - Direct Investment,Y0L-PSUP3,-61.0
2014-10-09,Reported Market Value - Direct Asset,Y0L-PSUP3,61.0
2014-11-28,Income - Direct Investment,Y0L-PSUP3,0.0
2015-01-08,Reported Market Value - Direct Asset,Y0L-PSUP3,61.0
2015-04-10,Reported Market Value - Direct Asset,Y0L-PSUP3,58.0
2015-06-21,Income - Direct Investment,Y0L-PSUP3,1.0
2015-07-11,Reported Market Value - Direct Asset,Y0L-PSUP3,59.0
2015-10-09,Reported Market Value - Direct Asset,Y0L-PSUP3,64.0
2015-10-17,Income - Direct Investment,Y0L-PSUP3,0.0
